company_name,company_name_normalized,dba_name,filer_name,filer_type,first_filing_date,latest_filing_date,total_filing_count,application_count,docket_numbers,is_active,activity_signal,industry_segment,product_summary,market_position,market_position_source,market_position_reason,enrichment_confidence,parsed_address,parsed_city,parsed_state,parsed_phone,parsed_email,parsed_founding_date,key_personnel_count
"HADLO TECHNOLOGIES, LLC",hadlo technologies llc,,Jason Danowsky,,2018-09-13,2019-02-19,8,5,18-293; 19-96; 20-132; 21-218,False,"Jason Danowsky appears to be an individual attorney, not an active IPES company. Web search results show he is a telecommunications attorney at FosterDanowsky in Austin, TX, who represents companies for FCC matters. FCC filings ended in 2019 with no recent activity. The parsed company data appears to be aggregated from multiple different companies' filings that this attorney likely represented, not a single operating entity.",Other,"Jason Danowsky appears to be a telecommunications attorney who files FCC applications on behalf of VoIP companies, not an operating telecommunications company itself.",Unknown,undetermined,,Medium,305 N 1st Ave.,Hillsboro,OR,1844464754,kevin.hughes@team.neustar,1996,2
IGEM Communications LLC DBA Globalgig,igem communications llc dba globalgig,,Jeremy Mcpherson,,2020-12-28,2020-12-28,1,1,,False,"FCC filing from 2020-12-28 with no recent activity or supplements. Web search results show Jeremy McPherson as VP Operations at Globalgig telecommunications company (6+ years according to ZoomInfo), but no evidence of him operating an independent VoIP service. LinkedIn post mentions Globalgig but not personal telecom business. No company website or independent business presence found.",Carrier,"Individual filing for VoIP numbering authorization, likely for personal or small-scale telecommunications service provision, though no specific service description found in evidence.",Unknown,undetermined,,Low,706 W Ben White Blvd #250B,Austin,TE,8444835474,,,0
"Jive Communications, Inc.",jive communications inc,,,,2019-05-23,2019-05-23,3,1,19-154,False,"Company was acquired and rebranded as GoTo Connect in 2020 according to web search results (""Jive's Virtual Phone Solution is Now Officially GoTo Connect"" from goto.com dated June 16, 2020). Email contact uses logmein.com domain, indicating corporate acquisition. No recent FCC filings since 2019, with latest filing being 2019-05-23.",UCaaS,"Jive Communications provided cloud-based hosted VoIP and unified communications services to businesses, offering enterprise-grade voice calling, conferencing, messaging, and related communication features through their Jive Cloud platform.",Enterprise,llm,,High,2750 W 600 North,Denver,CO,7818501583,val.ilchenko@logmein.com,,2
Jive Communications LLC,jive communications llc,,,,2019-05-21,2019-05-21,1,1,19-154,False,"Company appears inactive based on: 1) Single FCC filing from 2019-05-21 with no recent activity, 2) Email contact using @logmein.com domain suggesting acquisition/integration, 3) Web search results show Jive services being offered through reseller (RQ Communications) rather than direct company presence, 4) No direct company website found in search results",UCaaS,"Jive Communications provided hosted VoIP and unified communications services to business customers, offering cloud-based voice solutions since 2006.",SMB,rules,industry_segment=UCaaS,Medium,2750 W 600 North,New York,New,7818501583,val.ilchenko@logmein.com,,2
"Leap Telecom, LLC",leap telecom llc,,,,2020-09-04,2020-09-04,1,1,20-308,True,"Company appears active based on multiple web search results showing current business listings and profiles. Most notably, a 2025 blog post indicates ""Teliax, Leap Telecom and Toll-Free Exchange Rebrand as Ringer"" (April 30, 2025), suggesting recent corporate activity and transformation. Additional evidence includes active business directory listings on NAICSlist, ZoomInfo, RocketReach, and Alignable showing current operations.",UCaaS,"Leap Telecom provides unified communications services including hosted IP PBX, SIP/VoIP handsets, contact center software, conferencing services, and toll-free services to businesses ranging from small companies to enterprise-level contact centers.",Enterprise,llm,,High,2150 W 29th Ave,Denver,CO,8335327835,intagree@qwest.com,,0
"LiveVox, Inc.",livevox inc,,,,2020-10-26,2020-10-26,2,1,20-350,False,"NICE acquired LiveVox in 2023 (Business Wire article from Oct 4, 2023 stating ""NICE has entered a definitive agreement to acquire LiveVox""). Web search results indicate ""Upon completion of the transaction, LiveVox will no longer be publicly listed or traded on Nasdaq"" and that the transaction was ""expected to be cash flow positive...during 2024"", suggesting the acquisition completed. No recent FCC activity (last filing 2020-10-26) or independent company operations evident.",CCaaS,"LiveVox was a cloud-based contact-center-as-a-service (CCaaS) platform providing omnichannel customer engagement, CRM integrations, agent scheduling, and workforce management solutions to enterprises, business process outsourcers, and collections agencies.",Enterprise,llm,,High,655 Montgomery Street,San,CA,4156716000,,,1
"Local Access, LLC",local access llc,,,,2016-06-16,2016-06-16,2,1,16-198,False,"Multiple negative activity signals: FCC filing shows no recent activity since 2016, Rhode Island business registration was revoked on 10-11-2022, web search results indicate ""domain is no longer active"" and describe the company as ""dead"", and FCC proposed a fine in December 2022 for failing to provide required information to the Reassigned Numbers Database Administrator, suggesting operational issues.",Carrier,"Local Access LLC was a telecommunications carrier providing intrastate, IntraMSA and InterMSA communications services and access services to other carriers.",Unknown,undetermined,,Medium,jfinneran@localaccessholdings.com,Windermere,FL,,,,2
Low Latency Communications LLC,low latency communications llc,,,,2020-11-12,2020-11-12,1,1,20-391,True,"Company website found via search (lowlatencycomm.com) showing active business operations with hosted PBX and VoIP solutions. Website describes ongoing commitment to providing services to businesses, indicating current activity beyond the 2020 FCC filing.",UCaaS,"Low Latency Communications provides hosted PBX and VoIP solutions to businesses, offering interconnected VoIP services initially focused in Texas.",SMB,llm,,Medium,241 Applegate Trace,Pelham,AL,2057453970,,,2
"LP Telecom, LLC d/b/a Landing Point Telecom","lp telecom, llc d/b/a landing point telecom",Landing Point Telecom,,,2020-11-03,2020-11-03,1,1,20-368,True,Web search results show John Bryant listed as CEO of LP Telecom LLC d/b/a Landing Point Telecom with active website (landingpointtele.com) as of 2022 Dallas News voter guide. FCC filing from 2020-11-03 shows company applied for VoIP numbering authorization.,UCaaS,"Landing Point Telecom provides interconnected VoIP services initially focused on the Texas market, offering voice over IP telecommunications solutions to businesses.",SMB,rules,industry_segment=UCaaS,Medium,"1332 Teasley Lane, Suite IOOC",Denton,TE,9408002800,,,0
MAGNA5 LLC,magna5 llc,,,,2017-08-14,2017-08-14,4,1,17-216,False,"No recent activity signals found. FCC filing was from 2017-08-14 with no recent activity noted. Web searches return no direct results for MAGNA5 LLC or any current web presence. The parsed documents show a founding date of 2015, but with only 2017 FCC filings and no current digital footprint, the company appears inactive.",Carrier,"MAGNA5 LLC was a VoIP carrier that intended to provide interconnected VoIP services initially in New York, Oregon, and Washington, as evidenced by their FCC numbering authorization application.",Unknown,undetermined,,Low,,Canonsburg,PA,,,2015,1
Volt Labs Inc.,volt labs inc,,Martin Lien,,2021-11-23,2021-11-23,1,1,,False,"No evidence of active operations. Single FCC filing from 2021-11-23 with no recent activity. Web search results only return generic patent documents mentioning ""lien"" as a legal term, not company-specific content. No company website, social media, or business listings found.",Unknown,Unable to determine products or services - no service description in FCC filing and no company-specific information found in web searches.,Unknown,undetermined,,Low,"100 S Cincinnati Ave Fl 5, Suite 527",Tulsa,OK,2146811845,,,0
MASH Telecom Inc.,mash telecom inc,,,,2021-02-23,2021-02-23,1,1,21-65,True,"FCC numbering authorization granted in August 2023 (DA-23-676) for docket 21-65, active company website at mashtelecom.com found via search results showing current business services, and Canadian business registration showing incorporation date of Nov 25, 2016 with Montreal address matching FCC filing location",UCaaS,"MASH Telecom provides enterprise-level IT and communication services including VoIP phone systems, Cisco solutions, and unified communications with specialization in performance-based routing and fraud prevention for contact centers.",Enterprise,llm,,High,"1085 Rue Smith, Suite 1005",Montreal,WA,,,,0
MCC Telephony LLC,mcc telephony llc,,,,2022-10-28,2022-10-28,1,1,22-385,False,"No recent activity signals found. FCC filing only from October 2022 with no subsequent filings or supplements. Web search results only show the company name in generic telecom listings and people search results without any active business presence, website, or current operations evidence.",UCaaS,MCC Telephony LLC appears to be an interconnected VoIP service provider that filed for numbering authorization to operate in the competitive VoIP business sector.,SMB,rules,industry_segment=UCaaS,Low,One Mediacom Way,Mediacom,NE,8454432600,,,0
"Megaphone, Inc.",megaphone inc,,,,2017-02-10,2017-02-10,3,1,17-62,False,"No recent activity signals found. FCC filing was only from 2017-02-10 with no supplements or recent activity. Web search results contain no relevant matches for the company - only generic references to megaphones and unrelated VoIP services. No company website, social media presence, or other business activity indicators found.",UCaaS,"VoIP services provider that filed for interconnected VoIP numbering authorization with the FCC, though specific service details are unknown from available evidence.",SMB,rules,industry_segment=UCaaS,Low,"16 Boston Post Road, PMB 162",New York,NY,6172255190,,,2
"Metro Fibernet, LLC",metro fibernet llc,,,,2019-04-12,2019-04-12,2,1,19-100,False,"FCC filing only from 2019-04-12 with no recent activity. Web search results show no specific matches for Metro Fibernet, LLC - only unrelated companies with similar names. Email domain (metronetinc.com) suggests possible connection to MetroNet, but no current evidence of Metro Fibernet operations. Founding date of 2012 with only one filing date in 2019 suggests limited or ceased operations.",Carrier,"Based on FCC VoIP numbering authorization filing and company name containing ""Fibernet,"" appears to be a fiber-based telecommunications carrier providing interconnected VoIP services.",Unknown,undetermined,,Low,"3701 Communications Way, Evansville, IN 47715",,,8127597807,randy.kiesel@metronetinc.com,2012,6
MetTel,mettel,,,,2016-04-12,2016-04-12,3,1,16-134,True,"Multiple confirming signals indicate active operations: Company website found via search at mettel.net describing current services, LinkedIn company page active, third-party telecommunications directory listings showing MetTel as an active provider, and consistent references to ongoing business operations across multiple web sources.",Carrier,"MetTel is a global communications solutions provider offering integrated voice, data, network, cloud, and mobility services to enterprise companies and government agencies through their proprietary network infrastructure.",Enterprise,llm,,High,"ss WRtcr Strtct, 32. . Floor",New York,New,,,1996,1
"Midco Voice, LLC",midco voice llc,,,,2020-11-05,2020-11-05,2,1,20-390,False,"No recent activity signals found. FCC filing was in 2020 (4 years old) with no recent activity noted. Web search results only show patent references from other companies with ""MIDCO"" in names, but no direct evidence of Midco Voice, LLC's current operations or web presence.",UCaaS,"Provides interconnected VoIP services in South Dakota, as indicated in their FCC filing service description.",SMB,rules,industry_segment=UCaaS,Low,3901 N. Louise Avenue,,,6052710594,,,0
Midon square LLC,midon square llc,,,,2024-03-29,2024-03-29,1,1,,False,"Recent FCC filing (March 2024) suggests initial activity, but Colorado state records show company as ""Delinquent September 1, 2024"" per web search results. Web searches return generic VoIP information and unrelated companies rather than specific company details, suggesting minimal operational presence.",Carrier,"Applied for VoIP numbering authorization with the FCC, indicating intent to provide telecommunications services, but specific service offerings are unknown.",Unknown,undetermined,,Low,,Southlake,TX,,,,0
"Mitel Cloud Solutions, Inc.",mitel cloud solutions inc,,,,2020-05-19,2020-05-19,1,1,20-149,False,"No evidence of current activity found. Single FCC filing from 2020-05-19 with no recent activity. Web search results return generic VoIP industry content and competitor information (voip.ms, Verizon, SE Telecom) but no specific results for Mitel Cloud Solutions, Inc. despite searching for the exact company name.",UCaaS,"Based on company name ""Mitel Cloud Solutions"" and FCC VoIP numbering authorization filing, appears to have been a cloud-based VoIP communications provider, likely offering unified communications services.",SMB,rules,industry_segment=UCaaS,Low,,,,,,,0
Mix Networks,mix networks,,,,2016-04-29,2016-04-29,2,2,16-108,False,"Company appears inactive based on: 1) FCC filing only from 2016 with no recent activity, 2) LinkedIn company page exists but no recent activity indicators, 3) Company website (mixnetworks.com) found in search results suggests some web presence but no timestamps indicating recent activity, 4) No recent filings or supplements since 2016 initial application",UCaaS,"Mix Networks provides VoIP solutions including SIP trunking, IP telephony, and unified communications services for both residential and business customers, with a focus on specialty solutions and scalable telecommunications services.",SMB,llm,,Medium,,Lakeland,FL,,,,0
"Mix Networks, Inc",mix networks inc,,,,2016-03-25,2016-03-25,1,1,16-108,True,"Company website found via search (mixnetworks.com with recent VoIP content), active LinkedIn company page with 709 followers, multiple business directory listings, and integration partnerships (Stayntouch). Website content discusses current VoIP vs POTS solutions indicating ongoing business operations.",UCaaS,"Mix Networks is a unified communications solutions provider offering VoIP, SIP trunking, and network services with both retail and wholesale divisions serving different customer segments.",Mid-Market,llm,,Medium,CUSTOMER Address:,,,,,,1
MobileSphere LLC,mobilesphere llc,,,,2020-08-07,2020-08-07,5,3,20-262,False,"No recent activity found. FCC filing is from 2020-08-07 with no recent filings (recent_activity: false). Web search results contain only generic VoIP patents and industry listings with no specific mention of MobileSphere LLC. No current web presence, social media, or business activity detected.",UCaaS,"MobileSphere LLC was a VoIP service provider founded in 2003 that intended to provide interconnected VoIP services initially in Massachusetts, based on their FCC filing.",SMB,rules,industry_segment=UCaaS,Low,7 Faneuil Hall Marketplace,Boston,MA,6173999980,toufic@mobile-sphere.com,2003,0
"NobelBiz, Inc.",nobelbiz inc,,,,2020-11-10,2020-11-10,3,1,20-385,True,"Company website (nobelbiz.com) found via search showing active business operations. LinkedIn profile indicates current operations with 44 employees and $8.5 million in revenue. Company describes itself as ""the only call center-focused telecom carrier in the industry"" and offers current services including VoIP carrier network and CCaaS solutions.",CCaaS,"NobelBiz provides voice carrier network services and cloud contact center solutions specifically for the contact center industry, offering caller ID management, routing, omnichannel platforms, and VoIP services.",Mid-Market,llm,,High,1545 Faraday Avenue,Canonsburg,PA,7604050105,wbrantl@kelleydrye.com,,3
Noble Systems Communications LLC,noble systems communications llc,,,,2020-05-28,2020-05-28,2,1,20-159,False,"FCC filing from 2020-05-28 with no recent activity since then. Patent records show Noble Systems Corporation assigned patents to Wells Fargo Capital Finance LLC in 2015, suggesting potential financial distress or acquisition. Web search yielded no current company website or recent business activity - only historical patent assignments and unrelated telecom industry mentions.",CCaaS,"Noble Systems appears to have been a call center technology company based on patent records for ""call processing"" and ""learning management system for call center agents"" systems.",SMB,rules,industry_segment=CCaaS,Low,,,,2027926422,,,1
"Number Access, LLC",number access llc,,,,2018-03-05,2018-03-05,1,1,18-137,False,"No evidence of current activity. Single FCC filing from 2018-03-05 with no recent activity marked as false. Web search results show only generic VoIP-related content and patents, with no specific mentions of Number Access, LLC. No company website, recent filings, or other indicators of ongoing operations found.",UCaaS,"Interconnected VoIP service provider that filed for numbering authorization, operating in what was described as the ""highly competitive interconnected VoIP sector.""",SMB,rules,industry_segment=UCaaS,Low,"2701 Devils Glen Road, Suite 200",Bettendorf,IA,2022043005,,,0
"Number Sentry, LLC",number sentry llc,,,,2021-12-30,2021-12-30,1,1,22-22,False,"Single FCC filing from 2021-12-30 with no recent activity. Web search results show no specific mentions of ""Number Sentry, LLC"" - only generic references to other ""Sentry"" companies in VoIP/telecom space. No company website, social media, or business listings found. Email domain ""aprlaprofsvcs.com"" suggests potential professional services affiliation rather than active telecom operations.",Carrier,"Filed for interconnected VoIP numbering authorization with the FCC, suggesting intent to provide VoIP carrier services, though no specific service description was provided in filing.",Unknown,undetermined,,Low,"3861 River Mansion Drive,",Peachtree,GA,4045194096,rongrob@aprlaprofsvcs.com,,0
"NumberBarn, LLC",numberbarn llc,,,,2019-04-10,2019-04-10,10,1,19-99,True,"Company website found via search (www.numberbarn.com) showing active services for phone number parking, porting, and forwarding. Multiple recent web search results from 2024 including company profiles on Datanyze and Crunchbase indicating ongoing business operations. Website shows active FAQ section with current service offerings.",Carrier,"NumberBarn provides phone number services including toll-free and local number provisioning, number porting, parking, and call forwarding services as an interconnected VoIP provider.",SMB,llm,,High,2510 S. Escondido Blvd.,Escondido,CA,,,2014,1
"NUSO, LLC",nuso llc,,,,2020-10-19,2020-10-19,1,1,20-345,True,"Active company website found at nuso.cloud showing current business operations. LinkedIn profile indicates ""NUSO (formerly Brightlink) delivers complex cloud communication solutions"" suggesting ongoing operations. Recent web content from 2025-2026 discussing NUSO services and technology investments. Company appears to be operating under NUSO brand after rebranding from Brightlink.",UCaaS,"NUSO provides unified communications and cloud-based VoIP solutions, including hosted VoIP, SIP trunking, contact center services, and collaboration tools delivered through an authorized partner network.",Enterprise,llm,,High,"6677 Delmar Blvd, Suite 300",University,MI,8444386876,,,0
"One Ring Networks, Inc.",one ring networks inc,,,,2017-08-10,2017-08-10,5,2,17-219,False,"Company was acquired by EarthLink in July 2023 according to multiple press releases (PR Newswire, EarthLink official press release, TMCNet). While the company website is still active (oneringnetworks.com), acquisition typically means the original entity is no longer operating independently. FCC filings show no recent activity since 2017.",Carrier,"One Ring Networks was a telecommunications service provider offering business internet solutions including fixed wireless, fiber, hosted PBX, VoIP telephony, and managed services across multiple states (CA, GA, TX, MD, AZ).",SMB,llm,,High,"411 E Clinton Avenue,",Atlanta,10,2143829900,,1982,0
"Ooma, Inc.",ooma inc,,,,2020-04-17,2020-04-17,1,1,20-130,True,"Company website active (ooma.com found via search), Wikipedia entry describes as ""publicly traded telecommunications company"", recent acquisition announcement from November 24, 2025 (Ooma announces definitive agreement to acquire Phone.com), and active LinkedIn company profile. NYSE listing (OOMA) indicates ongoing public company status.",UCaaS,"Ooma provides cloud-based VoIP communication services including phone, messaging, video, and advanced communications for both businesses and consumers through a subscription-based model.",SMB,llm,,High,525 AlmanorAve,Sunnyvale,CA,6505187200,,,0
"OpenSIP.com, LLC",opensip.com llc,,,,2017-03-08,2017-03-08,5,1,17-89,False,"No evidence of current activity - FCC filing was only in 2017 (7 years ago) with no recent filings or supplements. Web search results show only the original FCC filing document and generic VoIP industry content, with no specific company website or recent mentions of OpenSIP.com LLC found.",Carrier,"VoIP service provider that filed for interconnected VoIP numbering authorization with the FCC, indicating they intended to provide voice services requiring telephone number assignments.",Unknown,undetermined,,Low,"3700 Santa Fe Ave., Suite 200",Long Beach,CA,8442505000,,2006,1
Opentact Inc,opentact inc,,,,2021-07-16,2021-07-16,1,1,21-305,True,"Company website found via search at opentct.net offering VoIP solutions, SMS messaging, and VoIP termination services. Additional 2023 FCC state notification filing found in South Dakota PUC records (filed 01/10/23). Active blog presence at opentact.blogspot.com describing AI-powered communication platform. Mobile app ""Roamilo eSIM"" published by Opentact on Google Play store.",CPaaS,"Opentact provides a comprehensive communication platform offering VoIP services, SMS messaging, phone number services, media servers, PBX solutions, call tracking, and AI-powered call centers, positioning itself as an all-in-one communication solution.",SMB,llm,,High,,,,,,,0
"Origin Networks, LLC dba Infostructure","origin networks, llc dba infostructure",Infostructure,,,2018-01-19,2018-01-19,4,1,18-12,False,"Company was acquired by Hunter Communications in October 2023 according to multiple web sources. Web search results from hunterfiber.com, roguevalleymagazine.com, and southernoregonbusiness.com all confirm the acquisition of Origin Networks LLC (parent company to InfoStructure). Oregon PUC document indicates Hunter Communications became the telecommunications service provider for InfoStructure's customers following the transaction. No recent FCC activity since 2018.",Carrier,"InfoStructure provided resold voice and IP-based data services to customers in California, Oregon, and Washington before being acquired by Hunter Communications in 2023.",Unknown,undetermined,,High,288 South Pacific Highway,,,5417735000,jrhoden@infostructure.net,2013,0
"PAETEC iTEL, L.L.C.",paetec itel llc,,,,2020-10-01,2020-10-01,5,2,20-416,False,"No recent activity signals found. FCC filing was from 2020-10-01 with no recent activity noted. Web search results contain no relevant information about PAETEC iTEL, L.L.C. Email contact shows @windstream.com domain, suggesting potential acquisition or merger with Windstream. Service description references ""Windstream IPES"" rather than PAETEC iTEL directly.",Carrier,"PAETEC iTEL appears to be an Interconnected VoIP Provider that filed for numbering authorization with the FCC, likely providing VoIP telecommunications services, though now potentially operating under or merged with Windstream.",Unknown,undetermined,,Low,"4001 N. Rodney Parham Road, Little Rock, AR 72212",Indianapolis,IN,,Nicole.Winters@windstream.com,,1
"PanTerra Networks, Inc.",panterra networks inc,,,,2020-12-09,2020-12-09,1,1,20-418,False,"No recent activity indicators found. FCC filing is from 2020-12-09 with no recent activity. Web search results show presence on LinkedIn, VOIP provider directories, and YouTube channel, but no timestamps indicating recent activity. The most recent dated content found is from 2009 (Globe Newswire article about management addition). LinkedIn profile shows 2,757 followers but no activity indicators.",UCaaS,"PanTerra Networks provides cloud-based unified communications services called WorldSmart/Streams, integrating business VoIP, web and desktop collaboration, digital fax, instant messaging, and presence for businesses of any size.",SMB,llm,,Medium,"1350 Old Bayshore Hwy, #920, Burlingame, CA 94010",San Jose,CA,2022043005,,2000,0
"Perfect Pitch Technology, LLC",perfect pitch technology llc,,,,2021-04-15,2021-04-15,1,1,21-175,True,"Company has FCC Form 499 registration current as of 4/1/2022 according to Dun & Bradstreet search result. Manta.com listing shows current business hours (9:00 AM - 5:00 PM Mon-Sat) and active contact information including phone (801) 674-0725 and address in Lehi, UT. However, no evidence of activity more recent than 2022.",Carrier,"Perfect Pitch Technology is an interconnected VoIP provider that filed with the FCC to obtain telephone numbers directly from Numbering Administrators, initially serving Utah with plans to expand nationwide VoIP services.",Unknown,undetermined,,Medium,,Lehi,UT,8018054600,jacob@perfectpitchtech.com,,0
"Phone.com, Inc.",phone.com inc,,,,2021-01-28,2021-01-28,1,1,21-33,True,Active company website found via search (https://www.phone.com/) showing current VoIP services. Multiple recent third-party reviews from 2025 (VoIP Reviews and UMA Technology) indicate ongoing business operations. BBB business profile shows active status with comprehensive service descriptions.,UCaaS,"Phone.com provides cloud-based VoIP business phone services and UCaaS solutions, offering voice, video meetings, mobile solutions, and text services primarily targeted at small businesses through internet-based communications.",SMB,llm,,High,,,,8777466310,,,3
Piratel LLC,piratel llc,,,,2020-01-14,2020-01-14,3,1,20-23,False,"No recent activity signals found. FCC filing is from 2020-01-14 with no recent filings (recent_activity: false). Web search results show company website at piratel.com and LinkedIn profile, but no timestamps or recent content to confirm current operations. Press release about LRN dipping services appears dated but no recent date provided.",Carrier,"Piratel LLC is a facilities-based telecommunications carrier specializing in wholesale VoIP services, call center solutions, toll-free services, SIP trunking, DID origination, and LRN dipping services for high-volume call traffic.",Enterprise,llm,,Medium,"10572 Calle Lee, Suite 123",Los,CA,5622573131,,,0
"Porting.com, LLC",porting.com llc,,,,2024-06-24,2024-06-24,1,1,24-217,True,"Recent FCC filing (2024-06-24) for Interconnected VoIP Numbering Authorization Application under docket 24-217, indicating current regulatory compliance activity.",Carrier,"Appears to be a VoIP carrier service provider based on the company name ""Porting.com"" which suggests specialization in number porting services for telecommunications.",Unknown,undetermined,,Low,,Bend,TH,,intagree@centurylink.com,1982,0
"Quality Voice & Data, Inc.",quality voice & data inc,,,,2020-02-06,2020-02-06,2,1,20-42,True,"Company website found via search (qualityvoicedata.com) with current services, LinkedIn company profile showing active presence, ZoomInfo profile with revenue data ($3 million, 11 employees), and Chicago Journal article from September 2023 describing the company as ""an industry titan"" with ""over three decades"" of experience and ""100 industry accolades""",CPaaS,"Quality Voice & Data provides cloud-based VoIP and telecom switching services including caller ID, IVR, PBX, SMS/MMS messaging, conference calling, compliance monitoring, and SIP trunking with SHAKEN attestation for outbound calling campaigns.",SMB,llm,,High,"102 Grant Street, Aurora, NE 68818",Aurora,NE,2027926422,,,4
"RCLEC, Inc.",rclec inc,,,,2017-08-28,2017-08-28,2,2,17-271,False,"No evidence of current activity. Single FCC filing from 2017-08-28 with no recent activity. Web searches return only generic telecom directory listings with no specific mention of RCLEC, Inc. Email domain @ringcentral.com suggests potential acquisition or subsidiary relationship, but no current operational evidence found.",Carrier,"RCLEC, Inc. was an interconnected VoIP service provider that filed for numbering authorization with the FCC, likely providing telecommunications services through VoIP infrastructure.",Unknown,undetermined,,Low,"20 Davis Drive, Belmont, CA 94002",Belmont,CA,4159644933,rachel.petty@ringcentral.com,,0
Red Spectrum Communications,red spectrum communications,,,,2018-02-13,2018-02-13,1,1,17-366,True,"Active company website found (red-spectrum.com) offering current service plans, FCC Form 499 registration current as of 4/1/2022, BBB business profile listing, LinkedIn company page presence, and Dun & Bradstreet business directory listing all indicate ongoing operations",Carrier,"Red Spectrum Communications is an Internet Service Provider located in North Idaho that offers high-speed internet services (up to 100 Mbps residential, up to 1 Gigabit for business), telephone services, and fixed wireless/fiber optic connectivity solutions.",SMB,llm,,High,,Plummer,ID,,,,0
"RGTN USA, Inc.",rgtn usa inc,,,,2023-09-21,2023-09-21,7,5,23-335,True,"Company has active website (rgtn.com) found via search showing current operations as ""Your Trusted Telecom Partner"". FCC granted their numbering authorization in 2024 (Public Notice DA-24-739A1). DOJ review of their application was ongoing as of January 2024, indicating recent regulatory activity. USPTO trademark registration filed November 2023 for telecom services.",Carrier,"RGTN USA provides interconnected VoIP services and wholesale voice/SMS services, specializing in telecom infrastructure and connectivity solutions for other service providers.",Enterprise,llm,,High,"244 Fifth Avenue, Suite L220, New York, N.Y. 10001",Saint Johns,FL,8889777486,l.herps@rgtn.com,,2
CallWorks Corporation,callworks corporation,,Ronald J Grob,,2019-04-17,2019-04-17,2,1,19-142; 23-7,False,"No recent activity signals found. FCC filings only from 2019-04-17 with no recent activity flag set to false. Web search results show only personal information for individuals named Ronald J Grob with no business-related content or telecommunications company information. No company website, business listings, or telecommunications service offerings found.",Unknown,Unable to determine product or service offerings based on available evidence. FCC filing indicates interconnected VoIP numbering authorization application but no specific service description provided.,Unknown,undetermined,,Low,1503 E. 19th St.,Edmond,OK,4045194096,rongrob@apelaprofsvcs.com,,0
ShoreTel,shoretel,,,,2017-06-07,2017-06-07,1,1,16-172,False,"ShoreTel was acquired by Mitel, as evidenced by web search results showing ""ShoreTel Product Evolution and Integration Insights | Mitel"" and references to ""ShoreTel/Mitel"" branding. The FCC filing is from 2017 with no recent activity. Web search results primarily show legacy product information and reseller pages for discontinued ShoreTel systems, indicating the company no longer operates independently.",UCaaS,"ShoreTel provided unified communications systems including VoIP telephony, instant messaging, video conferencing, mobility, and collaboration capabilities for businesses of all sizes.",Enterprise,llm,,Medium,1385 Broadway FL 7,NORTH SYDNEY,NEW,8447467383,,2007,0
ShoreTel Inc,shoretel inc,,,,2017-06-07,2017-06-07,2,1,16-172; 17-272,False,"Company appears inactive based on: 1) Last FCC filing was in 2017 with no recent activity, 2) Web search results consistently use past tense (""was a telecommunications vendor"", ""was a telecommunications company""), 3) Wikipedia entry describes it in past tense, 4) Current web presence limited to legacy product listings and historical references rather than active business operations",UCaaS,ShoreTel was a telecommunications vendor that provided unified communications systems and IP-based business phone systems primarily for enterprises and large businesses.,Enterprise,llm,,Medium,1385 Broadway FL 7,NORTH SYDNEY,NEW,8447467383,,2007,0
ShoreTel Sky dba,shoretel sky dba,,,,2017-09-07,2017-09-07,1,1,17-272,False,"No evidence of current activity. Single FCC filing from 2017-09-07 with no recent activity. Web search results show no direct company presence - only generic VoIP industry content and unrelated hardware listings. No current website, social media, or business operations found.",UCaaS,"VoIP numbering authorization applicant under M5 Networks LLC, appears to have been a cloud-based business communications provider based on the ""ShoreTel Sky"" branding which typically indicates hosted VoIP services.",SMB,rules,industry_segment=UCaaS,Low,1385 Broadway FL 7,,,8447467383,,2007,0
"SimpleVoIP, LLC",simplevoip llc,,,,2023-11-10,2023-11-10,2,1,23-408,True,"Multiple indicators of current operations: 1) Recent FCC filing in November 2023 for VoIP numbering authorization, 2) Active status page (status.simplevoip.us) showing ""All Systems Operational"" with 90-day uptime data, 3) Active mobile app on App Store (SimpleVoIP Mobile), 4) Current support documentation for customer billing portal, 5) Active Crunchbase profile with contact information",UCaaS,"SimpleVoIP LLC provides unified communication solutions to businesses with a focus on VoIP services, offering both web and mobile applications for business communications.",SMB,llm,,High,9450 SW Gemini Dr #72108,Beaverton,OR,4077943510,,,0
"SKYE TELECOM, LLC",skye telecom llc,,,,2020-09-16,2020-09-16,1,1,20-312,True,Company was acquired by HFA Holdings LLC (web search result from PR Newswire). Active website with acceptable use policy found at skyetel.com. Email domain skyetel.com from FCC filing matches active website. Federal vendor profile exists on GovTribe platform.,CPaaS,"Provides VoIP services across multiple states (Washington, Oregon, California, New York, Texas, Hawaii, Florida) through own facilities and CLEC partnerships for PSTN routing. Operates as Skyetel brand offering telecom and CPaaS services.",SMB,rules,industry_segment=CPaaS,Medium,915 Broadway St #100,Vancouver,WA,3606000000,chris@skyetel.com,,3
"Star2Star Communications, LLC",star2star communications llc,,,,2020-06-08,2020-06-08,3,1,20-165,False,"Missouri Public Service Commission document shows Star2Star formally requesting ""cancellation of its authority as granted in DA-2018-0246 effective January 1, 2025"" and stating they are ""ceasing to exist as a VoIP provider."" FCC filing was from 2020 with no recent activity since then.",UCaaS,"Star2Star provided unified communications solutions including voice, video, fax, instant messaging and presence management for businesses of all sizes, with recognition as a Top 10 Hosted Business VoIP/UC Provider by IHS and inclusion in Gartner Magic Quadrant for UCaaS.",Enterprise,llm,,High,,Sarasota,FL,2027926422,,1997,0
